rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay,delay_range
526054,402173,mobile,ended,-22433.0,,,On time,On time
559126,379544,mobile,canceled,-17468.0,,,On time,On time
544471,361461,mobile,ended,-9849.0,,,On time,On time
556636,386498,mobile,ended,-8650.0,,,On time,On time
538720,371773,mobile,ended,-5475.0,,,On time,On time
528845,385378,mobile,ended,-4624.0,,,On time,On time
533195,358631,connect,ended,-4276.0,,,On time,On time
527897,265918,mobile,ended,-3035.0,,,On time,On time
520591,396856,mobile,ended,-3030.0,,,On time,On time
566928,404213,mobile,ended,-3030.0,,,On time,On time
551401,265239,connect,ended,-2938.0,,,On time,On time
538138,370343,mobile,ended,-2878.0,,,On time,On time
530707,320524,mobile,ended,-2869.0,,,On time,On time
526689,354556,mobile,ended,-2847.0,,,On time,On time
526102,346840,mobile,ended,-2791.0,,,On time,On time
546183,317572,connect,ended,-2767.0,,,On time,On time
545843,405541,mobile,ended,-2759.0,,,On time,On time
562581,392273,mobile,ended,-2732.0,,,On time,On time
520498,195467,mobile,ended,-2676.0,543363.0,660.0,On time,On time
522712,316860,mobile,ended,-2501.0,,,On time,On time
561971,397838,mobile,ended,-2421.0,,,On time,On time
551232,262144,mobile,ended,-2368.0,,,On time,On time
534343,386599,mobile,ended,-2347.0,,,On time,On time
538245,338306,mobile,ended,-2167.0,,,On time,On time
543660,394038,mobile,ended,-2140.0,,,On time,On time
561113,369648,connect,ended,-2109.0,,,On time,On time
540766,269977,mobile,ended,-2048.0,,,On time,On time
535869,316744,connect,ended,-1832.0,,,On time,On time
557037,412426,mobile,ended,-1755.0,,,On time,On time
529571,388795,mobile,ended,-1707.0,546969.0,120.0,On time,On time
555361,400437,mobile,ended,-1638.0,,,On time,On time
564993,291355,mobile,ended,-1575.0,,,On time,On time
518557,315427,mobile,ended,-1574.0,,,On time,On time
527497,349049,mobile,ended,-1561.0,,,On time,On time
554463,376491,connect,ended,-1539.0,,,On time,On time
559509,410846,mobile,ended,-1535.0,,,On time,On time
546374,272724,mobile,ended,-1535.0,,,On time,On time
548714,309965,mobile,ended,-1514.0,,,On time,On time
565663,405938,mobile,ended,-1484.0,,,On time,On time
554377,318954,mobile,ended,-1468.0,,,On time,On time
554395,393373,mobile,ended,-1441.0,546634.0,0.0,On time,On time
527128,225795,connect,ended,-1438.0,,,On time,On time
551118,409227,mobile,ended,-1429.0,,,On time,On time
567650,378689,mobile,ended,-1426.0,,,On time,On time
555447,366025,mobile,ended,-1421.0,,,On time,On time
545791,376889,mobile,ended,-1418.0,,,On time,On time
553320,400886,mobile,ended,-1414.0,,,On time,On time
554391,409737,mobile,ended,-1413.0,,,On time,On time
506188,379568,mobile,ended,-1409.0,,,On time,On time
567644,216701,mobile,ended,-1408.0,565921.0,210.0,On time,On time
543824,383625,connect,ended,-1404.0,,,On time,On time
541510,346181,mobile,ended,-1388.0,,,On time,On time
534707,398411,mobile,ended,-1386.0,,,On time,On time
553170,396483,connect,ended,-1378.0,,,On time,On time
542134,369713,connect,ended,-1378.0,,,On time,On time
537505,363274,mobile,ended,-1375.0,,,On time,On time
560891,405164,mobile,ended,-1359.0,,,On time,On time
566304,362241,connect,ended,-1359.0,,,On time,On time
567833,372011,mobile,ended,-1345.0,546551.0,360.0,On time,On time
564101,414847,mobile,ended,-1336.0,,,On time,On time
550183,375915,mobile,ended,-1333.0,,,On time,On time
565335,373638,mobile,ended,-1331.0,,,On time,On time
551031,409711,mobile,ended,-1283.0,,,On time,On time
561984,295376,mobile,ended,-1282.0,,,On time,On time
554532,343369,mobile,ended,-1278.0,,,On time,On time
547460,411419,mobile,ended,-1272.0,,,On time,On time
559055,374007,mobile,ended,-1254.0,,,On time,On time
547889,336935,connect,ended,-1250.0,,,On time,On time
558993,412141,mobile,ended,-1227.0,556871.0,600.0,On time,On time
536690,248539,mobile,ended,-1226.0,,,On time,On time
535101,404104,mobile,ended,-1221.0,,,On time,On time
543705,385606,mobile,ended,-1220.0,,,On time,On time
569663,283618,mobile,ended,-1208.0,,,On time,On time
561228,357639,mobile,ended,-1203.0,,,On time,On time
551790,257291,mobile,ended,-1195.0,,,On time,On time
558392,348400,mobile,ended,-1192.0,,,On time,On time
541136,220513,mobile,ended,-1188.0,,,On time,On time
547522,366199,connect,ended,-1172.0,,,On time,On time
537383,279992,mobile,ended,-1170.0,,,On time,On time
548635,266773,mobile,ended,-1164.0,,,On time,On time
565877,351319,mobile,ended,-1148.0,561309.0,660.0,On time,On time
558978,410151,mobile,ended,-1127.0,,,On time,On time
561061,400048,mobile,ended,-1126.0,,,On time,On time
552095,351623,mobile,ended,-1124.0,,,On time,On time
566110,297832,mobile,ended,-1102.0,,,On time,On time
553000,390073,connect,ended,-1102.0,,,On time,On time
545863,212965,connect,ended,-1095.0,,,On time,On time
566650,209404,mobile,ended,-1087.0,,,On time,On time
543614,378939,mobile,ended,-1087.0,,,On time,On time
554117,320824,connect,ended,-1084.0,,,On time,On time
549415,279992,mobile,ended,-1080.0,,,On time,On time
555756,265183,mobile,ended,-1072.0,,,On time,On time
571184,326040,mobile,ended,-1069.0,,,On time,On time
519407,228703,connect,ended,-1061.0,,,On time,On time
555360,364546,mobile,ended,-1058.0,,,On time,On time
569841,342699,connect,ended,-1057.0,,,On time,On time
572980,363658,mobile,ended,-1041.0,,,On time,On time
533739,387498,mobile,ended,-1039.0,,,On time,On time
547833,408047,mobile,ended,-1034.0,,,On time,On time
535803,363145,mobile,ended,-1028.0,,,On time,On time
541596,401460,mobile,ended,-1026.0,,,On time,On time
565733,404433,mobile,ended,-1020.0,,,On time,On time
556079,374298,connect,ended,-1019.0,,,On time,On time
559600,370185,mobile,ended,-1018.0,,,On time,On time
541235,306935,mobile,ended,-1013.0,,,On time,On time
543809,402528,connect,ended,-1011.0,,,On time,On time
540274,408331,mobile,ended,-1006.0,,,On time,On time
561516,403863,mobile,ended,-1005.0,,,On time,On time
546641,371387,mobile,ended,-1005.0,549907.0,60.0,On time,On time
558575,380799,mobile,ended,-1003.0,,,On time,On time
553229,308974,mobile,ended,-998.0,,,On time,On time
534272,382884,mobile,ended,-993.0,,,On time,On time
564815,411597,mobile,ended,-993.0,,,On time,On time
540217,398802,mobile,ended,-988.0,543426.0,720.0,On time,On time
549737,193909,mobile,ended,-987.0,,,On time,On time
567818,368432,mobile,ended,-986.0,568439.0,630.0,On time,On time
540747,214635,connect,ended,-972.0,546332.0,60.0,On time,On time
538611,338947,connect,ended,-972.0,,,On time,On time
552342,376619,mobile,ended,-965.0,547312.0,0.0,On time,On time
544908,265664,connect,ended,-961.0,540077.0,690.0,On time,On time
570105,245154,connect,ended,-959.0,,,On time,On time
547804,392479,mobile,ended,-958.0,,,On time,On time
538605,228400,mobile,ended,-957.0,,,On time,On time
565109,312603,connect,ended,-956.0,566489.0,0.0,On time,On time
562363,294771,mobile,ended,-955.0,,,On time,On time
537336,368090,mobile,ended,-950.0,,,On time,On time
