rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay,delay_range,rental_id_join,delay_at_checkout_in_minutes_join,real_delay
520498,195467,mobile,ended,-2676.0,543363.0,660.0,On time,On time,543363,,
529571,388795,mobile,ended,-1707.0,546969.0,120.0,On time,On time,546969,104.0,16.0
554395,393373,mobile,ended,-1441.0,546634.0,0.0,On time,On time,546634,-9.0,9.0
567644,216701,mobile,ended,-1408.0,565921.0,210.0,On time,On time,565921,39.0,171.0
567833,372011,mobile,ended,-1345.0,546551.0,360.0,On time,On time,546551,24.0,336.0
558993,412141,mobile,ended,-1227.0,556871.0,600.0,On time,On time,556871,,
565877,351319,mobile,ended,-1148.0,561309.0,660.0,On time,On time,561309,-577.0,1237.0
546641,371387,mobile,ended,-1005.0,549907.0,60.0,On time,On time,549907,4.0,56.0
540217,398802,mobile,ended,-988.0,543426.0,720.0,On time,On time,543426,51.0,669.0
567818,368432,mobile,ended,-986.0,568439.0,630.0,On time,On time,568439,-25.0,655.0
540747,214635,connect,ended,-972.0,546332.0,60.0,On time,On time,546332,31.0,29.0
552342,376619,mobile,ended,-965.0,547312.0,0.0,On time,On time,547312,-77.0,77.0
544908,265664,connect,ended,-961.0,540077.0,690.0,On time,On time,540077,-20.0,710.0
565109,312603,connect,ended,-956.0,566489.0,0.0,On time,On time,566489,31.0,-31.0
572521,347208,connect,ended,-875.0,571139.0,180.0,On time,On time,571139,-90.0,270.0
538875,334190,connect,ended,-875.0,543805.0,0.0,On time,On time,543805,-130.0,130.0
553525,404460,mobile,ended,-869.0,552490.0,30.0,On time,On time,552490,83.0,-53.0
516737,288953,mobile,ended,-868.0,517435.0,30.0,On time,On time,517435,-113.0,143.0
560696,399528,connect,ended,-865.0,526657.0,600.0,On time,On time,526657,-181.0,781.0
535880,377004,mobile,ended,-853.0,549968.0,30.0,On time,On time,549968,52.0,-22.0
562290,349171,connect,ended,-839.0,562874.0,420.0,On time,On time,562874,13.0,407.0
561678,316678,connect,ended,-760.0,560439.0,180.0,On time,On time,560439,-8.0,188.0
543582,347660,connect,ended,-712.0,539424.0,420.0,On time,On time,539424,-117.0,537.0
553964,381012,mobile,ended,-707.0,547734.0,720.0,On time,On time,547734,83.0,637.0
566661,390467,connect,ended,-651.0,569297.0,570.0,On time,On time,569297,-451.0,1021.0
551310,319886,connect,ended,-636.0,565483.0,510.0,On time,On time,565483,-115.0,625.0
556725,362187,connect,ended,-633.0,554183.0,210.0,On time,On time,554183,-426.0,636.0
566342,383443,connect,ended,-598.0,564616.0,480.0,On time,On time,564616,-113.0,593.0
